frame_id,active_tracks,avg_speed,density,congested,fps
228,6,1.349,3e-06,False,13.0
229,6,1.369,3e-06,False,13.09
230,6,1.366,3e-06,False,12.91
231,5,1.151,2e-06,False,12.05
232,6,0.994,3e-06,False,11.48
233,5,1.611,2e-06,False,12.56
234,5,1.812,2e-06,False,12.81
235,5,1.751,2e-06,False,12.78
236,5,1.767,2e-06,False,12.98
237,5,2.618,2e-06,False,13.02
238,5,2.656,2e-06,False,12.9
239,4,1.12,2e-06,False,12.02
240,4,1.16,2e-06,False,12.17
241,6,0.78,3e-06,False,12.9
242,6,0.838,3e-06,False,12.73
243,6,0.92,3e-06,False,12.42
244,7,0.96,3e-06,False,12.47
245,7,0.927,3e-06,False,13.02
246,5,1.466,2e-06,False,12.77
247,5,1.322,2e-06,False,12.5
248,5,1.22,2e-06,False,12.7
249,5,1.111,2e-06,False,11.57
250,5,1.971,2e-06,False,12.79
251,6,1.91,3e-06,False,12.69
252,7,1.751,3e-06,False,12.42
253,7,1.691,3e-06,False,11.9
254,6,1.891,3e-06,False,12.71
255,6,1.989,3e-06,False,12.74
256,6,1.987,3e-06,False,12.27
257,6,2.138,3e-06,False,12.74
258,7,1.808,3e-06,False,12.71
259,7,1.833,3e-06,False,12.67
260,7,1.888,3e-06,False,12.34
261,6,2.401,3e-06,False,12.01
262,6,2.306,3e-06,False,10.63
263,6,2.329,3e-06,False,11.87
264,6,2.222,3e-06,False,12.42
265,6,2.155,3e-06,False,12.52
266,6,2.072,3e-06,False,12.51
267,6,2.172,3e-06,False,12.23
268,6,2.061,3e-06,False,11.87
269,6,2.042,3e-06,False,12.49
270,6,2.431,3e-06,False,12.35
271,7,2.072,3e-06,False,11.88
272,9,1.589,4e-06,False,12.19
273,8,1.258,4e-06,False,12.35
274,8,1.221,4e-06,False,12.26
275,8,1.226,4e-06,False,11.0
276,10,1.396,5e-06,False,11.44
277,9,2.092,4e-06,False,12.11
278,9,2.097,4e-06,False,12.07
