frame_id,active_tracks,avg_speed,density,congested,fps
335,9,0.989,4e-06,True,11.24
336,6,1.382,3e-06,True,11.47
337,5,0.809,2e-06,True,11.15
338,5,0.823,2e-06,True,8.44
339,5,0.757,2e-06,True,7.89
340,6,0.6,3e-06,False,4.08
341,6,0.589,3e-06,False,6.81
342,6,0.611,3e-06,False,7.87
343,6,0.617,3e-06,False,8.58
344,6,0.593,3e-06,False,9.73
345,6,0.587,3e-06,False,6.38
346,6,0.643,3e-06,False,7.2
347,6,0.807,3e-06,False,8.73
348,7,0.653,3e-06,False,8.53
349,7,0.663,3e-06,False,8.61
350,7,0.638,3e-06,False,6.78
351,7,0.596,3e-06,False,6.4
352,8,0.532,4e-06,False,5.11
353,7,0.615,3e-06,True,9.47
354,6,0.604,3e-06,True,9.69
355,6,0.581,3e-06,True,8.01
356,6,0.62,3e-06,True,5.16
357,5,0.775,2e-06,True,8.84
358,5,0.785,2e-06,False,8.6
359,5,0.722,2e-06,False,7.15
360,6,0.574,3e-06,False,5.76
361,7,0.546,3e-06,False,8.87
362,7,1.049,3e-06,False,9.83
363,7,1.007,3e-06,False,9.8
364,7,1.004,3e-06,False,8.36
365,7,1.115,3e-06,False,9.46
366,7,1.1,3e-06,True,10.95
367,7,1.027,3e-06,True,10.73
368,7,1.003,3e-06,True,10.56
369,6,1.104,3e-06,True,10.76
370,6,1.051,3e-06,True,10.94
371,7,0.896,3e-06,True,9.79
372,6,0.739,3e-06,True,9.87
373,6,0.639,3e-06,True,9.67
374,6,0.596,3e-06,False,4.39
375,6,0.606,3e-06,False,8.28
376,6,0.557,3e-06,False,10.29
377,6,0.472,3e-06,False,9.43
378,7,0.413,3e-06,False,9.3
379,7,0.608,3e-06,False,9.9
380,8,0.579,4e-06,False,7.67
381,8,0.475,4e-06,False,9.16
382,8,0.411,4e-06,False,9.63
383,9,0.338,4e-06,True,9.78
384,9,0.3,4e-06,True,8.93
385,8,0.386,4e-06,True,7.35
386,8,0.384,4e-06,True,8.53
387,8,0.398,4e-06,True,9.54
388,7,0.477,3e-06,True,9.49
389,7,0.462,3e-06,True,9.72
390,8,0.386,4e-06,True,10.71
391,8,0.359,4e-06,True,10.9
392,8,0.385,4e-06,True,10.06
393,8,0.357,4e-06,True,7.99
394,9,0.349,4e-06,True,3.25
395,9,0.466,4e-06,True,6.02
396,7,0.525,3e-06,True,8.29
397,6,0.371,3e-06,True,4.49
398,6,0.393,3e-06,True,4.32
399,6,0.33,3e-06,True,5.66
400,5,0.09,2e-06,True,6.1
401,5,0.139,2e-06,False,7.07
402,5,0.117,2e-06,False,4.89
403,6,0.138,3e-06,False,5.03
404,6,0.342,3e-06,False,7.49
